year_month,month_of_release,passenger_type,direction,citizenship,visa,country_of_residence,estimate,standard_error,status,_id
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bahrain,1,0,Provisional,29260
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bangladesh,13,0,Provisional,29261
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Belarus,4,0,Provisional,29262
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Belgium,1,0,Provisional,29263
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bermuda,1,0,Provisional,29264
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Bolivia,2,0,Provisional,29265
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Botswana,2,0,Provisional,29266
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Brazil,51,0,Provisional,29267
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cambodia,12,0,Provisional,29268
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Canada,22,0,Provisional,29269
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Chile,28,0,Provisional,29270
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,China,327,0,Provisional,29271
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cook Islands,3,0,Provisional,29272
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Cuba,1,0,Provisional,29273
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Czech Republic / Czechia,8,0,Provisional,29274
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ecuador,4,0,Provisional,29275
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Egypt,2,0,Provisional,29276
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,El Salvador,1,0,Provisional,29277
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ethiopia,3,0,Provisional,29278
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Europe,313,0,Provisional,29279
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Fiji,52,0,Provisional,29280
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Finland,2,0,Provisional,29281
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Former Yugoslav Republic of Macedonia (FYROM),5,0,Provisional,29282
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,France,25,0,Provisional,29283
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,French Polynesia,5,0,Provisional,29284
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Germany,46,0,Provisional,29285
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Greece,1,0,Provisional,29286
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Hong Kong (Special Administrative Region),14,0,Provisional,29287
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,India,320,0,Provisional,29288
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Indonesia,11,0,Provisional,29289
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Iran,5,0,Provisional,29290
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Ireland,10,0,Provisional,29291
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Israel,8,0,Provisional,29292
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Italy,12,0,Provisional,29293
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Japan,24,0,Provisional,29294
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Jordan,1,0,Provisional,29295
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kazakhstan,2,0,Provisional,29296
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kenya,1,0,Provisional,29297
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kiribati,8,0,Provisional,29298
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Republic of Korea,107,0,Provisional,29299
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Kuwait,3,0,Provisional,29300
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Laos,1,0,Provisional,29301
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Lithuania,2,0,Provisional,29302
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Malaysia,49,0,Provisional,29303
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Mexico,4,0,Provisional,29304
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Nepal,19,0,Provisional,29305
2017-10,2019-01,Long-term migrant,Arrivals,TOTAL,Visitor,Netherlands,17,0,Provisional,29306
